"naics" "year" "Y" "K" "L" "M"
311111 1990 8007.9912109375 2457 12.8999996185303 3920.45068359375
311111 1991 7868.51416015625 2534.80004882812 12.8000001907349 4190.5283203125
311111 1992 7710.0986328125 2599 13.8000001907349 3979.32958984375
311111 1993 7782.27734375 2671.69995117188 14.1000003814697 4309.46728515625
311111 1994 7357.58203125 2691 13.3000001907349 4012.77563476562
311111 1995 7724.1748046875 2756.89990234375 13.3999996185303 4401.22265625
311111 1996 7648.68701171875 2861.19995117188 13.3000001907349 4224.48583984375
311111 1997 8688.2001953125 2933 14 4500.7001953125
311111 1998 8949.2021484375 3043.39990234375 14.1000003814697 4701.15185546875
311111 1999 8611.267578125 3097.89990234375 14.1999998092651 4896.333984375
311111 2000 8830.8779296875 3184.19995117188 14.8000001907349 4927.265625
311111 2001 9553.384765625 3359.30004882812 14.1000003814697 4995.587890625
311111 2002 10463.39453125 3468.39990234375 14.5 5064.974609375
311111 2003 10995.9033203125 3508.89990234375 14.1999998092651 4519.8837890625
311111 2004 11452.21875 3591.69995117188 13 4759.72802734375
311111 2005 12273.9052734375 3659.5 14.5 5081.99072265625
311111 2006 12485.3994140625 3707.10009765625 14.6000003814697 4621.05517578125
311111 2007 12535.017578125 3745.89990234375 17 4901.71630859375
311111 2008 13095.3779296875 3791.60009765625 16.7000007629395 5053.67236328125
311111 2009 14227.6015625 3850.60009765625 17.1000003814697 6712.25146484375
311119 1990 16276.5908203125 4476.5 35.7000007629395 13160.5791015625
311119 1991 16527.294921875 4520.89990234375 35.7000007629395 13623.5537109375
311119 1992 17076.57421875 4489.89990234375 35.4000015258789 14384.822265625
311119 1993 17341.23828125 4486.60009765625 33.7000007629395 13410.5185546875
311119 1994 17083.427734375 4439.39990234375 34.0999984741211 12834.3447265625
311119 1995 18622.033203125 4462.2998046875 34.0999984741211 13153.37890625
311119 1996 16768.15234375 4476.2998046875 32.4000015258789 14140.3427734375
311119 1997 19044.099609375 4470.10009765625 32.7000007629395 14776.2001953125
311119 1998 21089.38671875 4524.7001953125 31.3999996185303 13940.2041015625
311119 1999 20933.115234375 4678.2998046875 34.0999984741211 13517.642578125
311119 2000 19902.056640625 4819.89990234375 34.5 13204.716796875
311119 2001 21264.080078125 4849.39990234375 35.4000015258789 13429.51171875
311119 2002 20991.7578125 4972.60009765625 32.5 13001.9404296875
311119 2003 26106.0703125 5048.7001953125 33.2000007629395 16345.8486328125
311119 2004 20945.71484375 5176 30.1000003814697 12797.0869140625
311119 2005 22360.865234375 5224.5 29.3999996185303 12661.2509765625
311119 2006 21532.3125 5291.2998046875 29.2000007629395 11172.0126953125
311119 2007 21043.005859375 5394.2998046875 28.8999996185303 12360.4677734375
311119 2008 21165.2265625 5435.2998046875 29.3999996185303 14214.6162109375
